E  1/500 | Loss:4.2306 | TrA:38.29% TrF1:38.29% | VAcc:46.25% VF1:46.25% | ETA:218.7min | BestVAcc:46.25%
E  2/500 | Loss:0.7761 | TrA:45.89% TrF1:45.89% | VAcc:33.75% VF1:33.75% | ETA:206.5min | BestVAcc:46.25%
E  3/500 | Loss:0.7243 | TrA:49.37% TrF1:49.37% | VAcc:43.75% VF1:43.75% | ETA:204.4min | BestVAcc:46.25%
E  4/500 | Loss:0.7276 | TrA:50.95% TrF1:50.95% | VAcc:38.75% VF1:38.75% | ETA:200.2min | BestVAcc:46.25%
E  5/500 | Loss:0.7113 | TrA:49.37% TrF1:49.37% | VAcc:42.50% VF1:42.50% | ETA:197.5min | BestVAcc:46.25%
E  6/500 | Loss:0.6551 | TrA:54.11% TrF1:54.11% | VAcc:32.50% VF1:32.50% | ETA:195.5min | BestVAcc:46.25%
E  7/500 | Loss:0.6335 | TrA:52.53% TrF1:52.53% | VAcc:46.25% VF1:46.25% | ETA:194.2min | BestVAcc:46.25%
E  8/500 | Loss:0.5778 | TrA:54.11% TrF1:54.11% | VAcc:48.75% VF1:48.75% | ETA:192.9min | BestVAcc:48.75%
E  9/500 | Loss:0.5973 | TrA:56.33% TrF1:56.33% | VAcc:43.75% VF1:43.75% | ETA:191.9min | BestVAcc:48.75%
E 10/500 | Loss:0.7507 | TrA:53.80% TrF1:53.80% | VAcc:38.75% VF1:38.75% | ETA:191.2min | BestVAcc:48.75%
E 11/500 | Loss:1.0859 | TrA:41.14% TrF1:41.14% | VAcc:41.25% VF1:41.25% | ETA:188.7min | BestVAcc:48.75%
E 12/500 | Loss:0.7279 | TrA:50.00% TrF1:50.00% | VAcc:45.00% VF1:45.00% | ETA:188.4min | BestVAcc:48.75%
E 13/500 | Loss:0.6499 | TrA:54.43% TrF1:54.43% | VAcc:47.50% VF1:47.50% | ETA:187.1min | BestVAcc:48.75%
E 14/500 | Loss:0.5767 | TrA:55.70% TrF1:55.70% | VAcc:51.25% VF1:51.25% | ETA:186.8min | BestVAcc:51.25%
E 15/500 | Loss:0.5771 | TrA:57.28% TrF1:57.28% | VAcc:46.25% VF1:46.25% | ETA:186.6min | BestVAcc:51.25%
E 16/500 | Loss:0.6141 | TrA:57.59% TrF1:57.59% | VAcc:47.50% VF1:47.50% | ETA:186.4min | BestVAcc:51.25%
E 17/500 | Loss:1.0247 | TrA:53.80% TrF1:53.80% | VAcc:27.50% VF1:27.50% | ETA:186.0min | BestVAcc:51.25%
E 18/500 | Loss:0.5650 | TrA:59.49% TrF1:59.49% | VAcc:47.50% VF1:47.50% | ETA:185.8min | BestVAcc:51.25%
E 19/500 | Loss:0.5380 | TrA:61.39% TrF1:61.39% | VAcc:52.50% VF1:52.50% | ETA:185.6min | BestVAcc:52.50%
E 20/500 | Loss:0.5822 | TrA:55.06% TrF1:55.06% | VAcc:51.25% VF1:51.25% | ETA:185.1min | BestVAcc:52.50%
E 21/500 | Loss:0.5146 | TrA:63.29% TrF1:63.29% | VAcc:47.50% VF1:47.50% | ETA:184.1min | BestVAcc:52.50%
E 22/500 | Loss:0.5896 | TrA:60.76% TrF1:60.76% | VAcc:51.25% VF1:51.25% | ETA:183.7min | BestVAcc:52.50%
E 23/500 | Loss:0.5095 | TrA:62.66% TrF1:62.66% | VAcc:51.25% VF1:51.25% | ETA:185.5min | BestVAcc:52.50%
E 24/500 | Loss:0.5344 | TrA:63.92% TrF1:63.92% | VAcc:55.00% VF1:55.00% | ETA:186.5min | BestVAcc:55.00%
E 25/500 | Loss:0.4995 | TrA:65.19% TrF1:65.19% | VAcc:58.75% VF1:58.75% | ETA:186.8min | BestVAcc:58.75%
E 26/500 | Loss:0.4139 | TrA:68.04% TrF1:68.04% | VAcc:60.00% VF1:60.00% | ETA:187.2min | BestVAcc:60.00%
E 27/500 | Loss:0.4047 | TrA:68.67% TrF1:68.67% | VAcc:52.50% VF1:52.50% | ETA:187.5min | BestVAcc:60.00%
E 28/500 | Loss:0.5764 | TrA:55.38% TrF1:55.38% | VAcc:53.75% VF1:53.75% | ETA:187.4min | BestVAcc:60.00%
E 29/500 | Loss:0.3902 | TrA:69.30% TrF1:69.30% | VAcc:53.75% VF1:53.75% | ETA:187.2min | BestVAcc:60.00%
E 30/500 | Loss:0.3661 | TrA:71.84% TrF1:71.84% | VAcc:62.50% VF1:62.50% | ETA:187.5min | BestVAcc:62.50%
E 31/500 | Loss:0.2743 | TrA:75.63% TrF1:75.63% | VAcc:71.25% VF1:71.25% | ETA:187.5min | BestVAcc:71.25%
E 32/500 | Loss:0.1936 | TrA:80.06% TrF1:80.06% | VAcc:53.75% VF1:53.75% | ETA:187.0min | BestVAcc:71.25%
E 33/500 | Loss:0.3534 | TrA:70.57% TrF1:70.57% | VAcc:57.50% VF1:57.50% | ETA:184.9min | BestVAcc:71.25%
E 34/500 | Loss:0.4131 | TrA:68.35% TrF1:68.35% | VAcc:48.75% VF1:48.75% | ETA:183.4min | BestVAcc:71.25%
E 35/500 | Loss:0.4821 | TrA:62.97% TrF1:62.97% | VAcc:62.50% VF1:62.50% | ETA:182.8min | BestVAcc:71.25%
E 36/500 | Loss:0.2375 | TrA:74.68% TrF1:74.68% | VAcc:70.00% VF1:70.00% | ETA:182.7min | BestVAcc:71.25%
E 37/500 | Loss:0.1784 | TrA:80.70% TrF1:80.70% | VAcc:67.50% VF1:67.50% | ETA:182.5min | BestVAcc:71.25%
E 38/500 | Loss:0.2428 | TrA:76.90% TrF1:76.90% | VAcc:62.50% VF1:62.50% | ETA:182.5min | BestVAcc:71.25%
E 39/500 | Loss:0.1880 | TrA:79.75% TrF1:79.75% | VAcc:76.25% VF1:76.25% | ETA:182.5min | BestVAcc:76.25%
E 40/500 | Loss:0.1872 | TrA:81.96% TrF1:81.96% | VAcc:63.75% VF1:63.75% | ETA:182.3min | BestVAcc:76.25%
E 41/500 | Loss:0.1595 | TrA:79.11% TrF1:79.11% | VAcc:70.00% VF1:70.00% | ETA:182.2min | BestVAcc:76.25%
E 42/500 | Loss:0.1615 | TrA:82.91% TrF1:82.91% | VAcc:70.00% VF1:70.00% | ETA:182.2min | BestVAcc:76.25%
