E  1/500 | Loss:9.2106 | TrA:45.89% TrF1:45.89% | VAcc:26.25% VF1:26.25% | ETA:257.3min | BestVAcc:26.25%
E  2/500 | Loss:0.9335 | TrA:43.35% TrF1:43.35% | VAcc:37.50% VF1:37.50% | ETA:236.7min | BestVAcc:37.50%
E  3/500 | Loss:1.3996 | TrA:42.41% TrF1:42.41% | VAcc:22.50% VF1:22.50% | ETA:229.2min | BestVAcc:37.50%
E  4/500 | Loss:0.8900 | TrA:34.81% TrF1:34.81% | VAcc:45.00% VF1:45.00% | ETA:224.6min | BestVAcc:45.00%
E  5/500 | Loss:0.7977 | TrA:47.15% TrF1:47.15% | VAcc:45.00% VF1:45.00% | ETA:222.2min | BestVAcc:45.00%
E  6/500 | Loss:0.7187 | TrA:50.00% TrF1:50.00% | VAcc:40.00% VF1:40.00% | ETA:220.3min | BestVAcc:45.00%
E  7/500 | Loss:0.8881 | TrA:41.46% TrF1:41.46% | VAcc:37.50% VF1:37.50% | ETA:218.8min | BestVAcc:45.00%
E  8/500 | Loss:0.8121 | TrA:47.47% TrF1:47.47% | VAcc:38.75% VF1:38.75% | ETA:217.3min | BestVAcc:45.00%
E  9/500 | Loss:0.7417 | TrA:49.05% TrF1:49.05% | VAcc:42.50% VF1:42.50% | ETA:216.2min | BestVAcc:45.00%
E 10/500 | Loss:0.7289 | TrA:50.00% TrF1:50.00% | VAcc:41.25% VF1:41.25% | ETA:215.3min | BestVAcc:45.00%
E 11/500 | Loss:0.7533 | TrA:45.57% TrF1:45.57% | VAcc:35.00% VF1:35.00% | ETA:210.6min | BestVAcc:45.00%
E 12/500 | Loss:0.7451 | TrA:47.47% TrF1:47.47% | VAcc:42.50% VF1:42.50% | ETA:210.0min | BestVAcc:45.00%
E 13/500 | Loss:0.8355 | TrA:45.89% TrF1:45.89% | VAcc:42.50% VF1:42.50% | ETA:209.4min | BestVAcc:45.00%
E 14/500 | Loss:0.7427 | TrA:51.27% TrF1:51.27% | VAcc:43.75% VF1:43.75% | ETA:209.1min | BestVAcc:45.00%
E 15/500 | Loss:0.6477 | TrA:52.22% TrF1:52.22% | VAcc:50.00% VF1:50.00% | ETA:208.5min | BestVAcc:50.00%
E 16/500 | Loss:0.6883 | TrA:52.22% TrF1:52.22% | VAcc:52.50% VF1:52.50% | ETA:207.9min | BestVAcc:52.50%
E 17/500 | Loss:0.6103 | TrA:52.85% TrF1:52.85% | VAcc:51.25% VF1:51.25% | ETA:207.5min | BestVAcc:52.50%
E 18/500 | Loss:0.5544 | TrA:57.28% TrF1:57.28% | VAcc:41.25% VF1:41.25% | ETA:207.1min | BestVAcc:52.50%
E 19/500 | Loss:0.5623 | TrA:54.75% TrF1:54.75% | VAcc:55.00% VF1:55.00% | ETA:206.7min | BestVAcc:55.00%
E 20/500 | Loss:0.5424 | TrA:59.49% TrF1:59.49% | VAcc:53.75% VF1:53.75% | ETA:206.2min | BestVAcc:55.00%
E 21/500 | Loss:0.5413 | TrA:58.54% TrF1:58.54% | VAcc:52.50% VF1:52.50% | ETA:205.9min | BestVAcc:55.00%
E 22/500 | Loss:0.5170 | TrA:57.91% TrF1:57.91% | VAcc:50.00% VF1:50.00% | ETA:205.4min | BestVAcc:55.00%
E 23/500 | Loss:0.4534 | TrA:65.19% TrF1:65.19% | VAcc:65.00% VF1:65.00% | ETA:204.9min | BestVAcc:65.00%
E 24/500 | Loss:0.3996 | TrA:65.51% TrF1:65.51% | VAcc:58.75% VF1:58.75% | ETA:204.4min | BestVAcc:65.00%
E 25/500 | Loss:0.4449 | TrA:66.14% TrF1:66.14% | VAcc:60.00% VF1:60.00% | ETA:204.0min | BestVAcc:65.00%
E 26/500 | Loss:0.3634 | TrA:70.57% TrF1:70.57% | VAcc:60.00% VF1:60.00% | ETA:203.7min | BestVAcc:65.00%
E 27/500 | Loss:0.3053 | TrA:71.20% TrF1:71.20% | VAcc:66.25% VF1:66.25% | ETA:203.2min | BestVAcc:66.25%
E 28/500 | Loss:0.2768 | TrA:75.63% TrF1:75.63% | VAcc:68.75% VF1:68.75% | ETA:202.6min | BestVAcc:68.75%
E 29/500 | Loss:0.2846 | TrA:74.68% TrF1:74.68% | VAcc:67.50% VF1:67.50% | ETA:201.9min | BestVAcc:68.75%
E 30/500 | Loss:0.2990 | TrA:76.27% TrF1:76.27% | VAcc:63.75% VF1:63.75% | ETA:201.3min | BestVAcc:68.75%
E 31/500 | Loss:0.2578 | TrA:75.32% TrF1:75.32% | VAcc:76.25% VF1:76.25% | ETA:200.5min | BestVAcc:76.25%
E 32/500 | Loss:0.2066 | TrA:81.33% TrF1:81.33% | VAcc:67.50% VF1:67.50% | ETA:199.8min | BestVAcc:76.25%
E 33/500 | Loss:0.2062 | TrA:80.38% TrF1:80.38% | VAcc:75.00% VF1:75.00% | ETA:199.2min | BestVAcc:76.25%
E 34/500 | Loss:0.1856 | TrA:81.01% TrF1:81.01% | VAcc:73.75% VF1:73.75% | ETA:198.5min | BestVAcc:76.25%
E 35/500 | Loss:0.1873 | TrA:82.28% TrF1:82.28% | VAcc:73.75% VF1:73.75% | ETA:197.9min | BestVAcc:76.25%
E 36/500 | Loss:0.1979 | TrA:79.75% TrF1:79.75% | VAcc:67.50% VF1:67.50% | ETA:197.4min | BestVAcc:76.25%
E 37/500 | Loss:0.1633 | TrA:85.44% TrF1:85.44% | VAcc:77.50% VF1:77.50% | ETA:196.9min | BestVAcc:77.50%
E 38/500 | Loss:0.1165 | TrA:89.24% TrF1:89.24% | VAcc:76.25% VF1:76.25% | ETA:196.7min | BestVAcc:77.50%
E 39/500 | Loss:0.1023 | TrA:89.56% TrF1:89.56% | VAcc:76.25% VF1:76.25% | ETA:196.3min | BestVAcc:77.50%
E 40/500 | Loss:0.1234 | TrA:90.82% TrF1:90.82% | VAcc:81.25% VF1:81.25% | ETA:199.8min | BestVAcc:81.25%
E 41/500 | Loss:0.0842 | TrA:93.35% TrF1:93.35% | VAcc:78.75% VF1:78.75% | ETA:200.5min | BestVAcc:81.25%
E 42/500 | Loss:0.0834 | TrA:92.41% TrF1:92.41% | VAcc:80.00% VF1:80.00% | ETA:201.4min | BestVAcc:81.25%
E 43/500 | Loss:0.1318 | TrA:89.24% TrF1:89.24% | VAcc:80.00% VF1:80.00% | ETA:204.9min | BestVAcc:81.25%
E 44/500 | Loss:0.0587 | TrA:93.35% TrF1:93.35% | VAcc:86.25% VF1:86.25% | ETA:206.0min | BestVAcc:86.25%
E 45/500 | Loss:0.0360 | TrA:96.52% TrF1:96.52% | VAcc:86.25% VF1:86.25% | ETA:206.0min | BestVAcc:86.25%
E 46/500 | Loss:0.0343 | TrA:96.84% TrF1:96.84% | VAcc:86.25% VF1:86.25% | ETA:207.8min | BestVAcc:86.25%
E 47/500 | Loss:0.0338 | TrA:98.10% TrF1:98.10% | VAcc:85.00% VF1:85.00% | ETA:212.4min | BestVAcc:86.25%
E 48/500 | Loss:0.0554 | TrA:94.94% TrF1:94.94% | VAcc:85.00% VF1:85.00% | ETA:218.2min | BestVAcc:86.25%
E 49/500 | Loss:0.0907 | TrA:94.62% TrF1:94.62% | VAcc:80.00% VF1:80.00% | ETA:224.7min | BestVAcc:86.25%
E 50/500 | Loss:0.1164 | TrA:88.92% TrF1:88.92% | VAcc:77.50% VF1:77.50% | ETA:226.5min | BestVAcc:86.25%
E 51/500 | Loss:0.1176 | TrA:91.14% TrF1:91.14% | VAcc:80.00% VF1:80.00% | ETA:228.4min | BestVAcc:86.25%
E 52/500 | Loss:0.0445 | TrA:97.78% TrF1:97.78% | VAcc:88.75% VF1:88.75% | ETA:231.5min | BestVAcc:88.75%
E 53/500 | Loss:0.0479 | TrA:97.47% TrF1:97.47% | VAcc:85.00% VF1:85.00% | ETA:231.9min | BestVAcc:88.75%
E 54/500 | Loss:0.0848 | TrA:93.99% TrF1:93.99% | VAcc:86.25% VF1:86.25% | ETA:232.8min | BestVAcc:88.75%
E 55/500 | Loss:0.0216 | TrA:97.47% TrF1:97.47% | VAcc:88.75% VF1:88.75% | ETA:234.2min | BestVAcc:88.75%
E 56/500 | Loss:0.0207 | TrA:97.78% TrF1:97.78% | VAcc:85.00% VF1:85.00% | ETA:233.9min | BestVAcc:88.75%
E 57/500 | Loss:0.0152 | TrA:98.73% TrF1:98.73% | VAcc:86.25% VF1:86.25% | ETA:230.2min | BestVAcc:88.75%
E 58/500 | Loss:0.0168 | TrA:99.05% TrF1:99.05% | VAcc:87.50% VF1:87.50% | ETA:224.7min | BestVAcc:88.75%
E 59/500 | Loss:0.0193 | TrA:98.42% TrF1:98.42% | VAcc:86.25% VF1:86.25% | ETA:218.4min | BestVAcc:88.75%
E 60/500 | Loss:0.0073 | TrA:99.37% TrF1:99.37% | VAcc:87.50% VF1:87.50% | ETA:213.7min | BestVAcc:88.75%
E 61/500 | Loss:0.0037 | TrA:99.68% TrF1:99.68% | VAcc:87.50% VF1:87.50% | ETA:211.1min | BestVAcc:88.75%
E 62/500 | Loss:0.0039 | TrA:99.68% TrF1:99.68% | VAcc:86.25% VF1:86.25% | ETA:207.7min | BestVAcc:88.75%
E 63/500 | Loss:0.0036 | TrA:99.37% TrF1:99.37% | VAcc:87.50% VF1:87.50% | ETA:203.1min | BestVAcc:88.75%
E 64/500 | Loss:0.0049 | TrA:99.37% TrF1:99.37% | VAcc:87.50% VF1:87.50% | ETA:200.5min | BestVAcc:88.75%
E 65/500 | Loss:0.0131 | TrA:98.42% TrF1:98.42% | VAcc:87.50% VF1:87.50% | ETA:198.8min | BestVAcc:88.75%
E 66/500 | Loss:0.0561 | TrA:97.15% TrF1:97.15% | VAcc:90.00% VF1:90.00% | ETA:196.6min | BestVAcc:90.00%
E 67/500 | Loss:0.0208 | TrA:97.47% TrF1:97.47% | VAcc:83.75% VF1:83.75% | ETA:194.9min | BestVAcc:90.00%
E 68/500 | Loss:0.0059 | TrA:99.68% TrF1:99.68% | VAcc:88.75% VF1:88.75% | ETA:194.4min | BestVAcc:90.00%
E 69/500 | Loss:0.0046 | TrA:99.37% TrF1:99.37% | VAcc:90.00% VF1:90.00% | ETA:193.3min | BestVAcc:90.00%
E 70/500 | Loss:0.0072 | TrA:99.37% TrF1:99.37% | VAcc:88.75% VF1:88.75% | ETA:192.3min | BestVAcc:90.00%
E 71/500 | Loss:0.0059 | TrA:99.05% TrF1:99.05% | VAcc:90.00% VF1:90.00% | ETA:191.3min | BestVAcc:90.00%
E 72/500 | Loss:0.0037 | TrA:99.68% TrF1:99.68% | VAcc:90.00% VF1:90.00% | ETA:189.5min | BestVAcc:90.00%
E 73/500 | Loss:0.1115 | TrA:95.89% TrF1:95.89% | VAcc:78.75% VF1:78.75% | ETA:189.0min | BestVAcc:90.00%Val 73/500:  80%|锟斤拷锟斤拷锟斤拷锟斤拷锟斤拷锟斤拷锟斤拷锟斤拷  | 16/20 [00:03<00:00,  5.29it/s]
E 74/500 | Loss:0.1151 | TrA:93.04% TrF1:93.04% | VAcc:83.75% VF1:83.75% | ETA:188.9min | BestVAcc:90.00%
E 75/500 | Loss:0.1025 | TrA:92.72% TrF1:92.72% | VAcc:87.50% VF1:87.50% | ETA:188.7min | BestVAcc:90.00%
E 76/500 | Loss:0.0216 | TrA:98.10% TrF1:98.10% | VAcc:88.75% VF1:88.75% | ETA:188.3min | BestVAcc:90.00%
E 77/500 | Loss:0.0066 | TrA:99.05% TrF1:99.05% | VAcc:88.75% VF1:88.75% | ETA:188.1min | BestVAcc:90.00%
E 78/500 | Loss:0.0203 | TrA:98.42% TrF1:98.42% | VAcc:88.75% VF1:88.75% | ETA:187.3min | BestVAcc:90.00%
E 79/500 | Loss:0.0212 | TrA:97.78% TrF1:97.78% | VAcc:88.75% VF1:88.75% | ETA:187.3min | BestVAcc:90.00%
E 80/500 | Loss:0.0043 | TrA:99.68% TrF1:99.68% | VAcc:87.50% VF1:87.50% | ETA:186.7min | BestVAcc:90.00%
E 81/500 | Loss:0.0163 | TrA:97.78% TrF1:97.78% | VAcc:83.75% VF1:83.75% | ETA:186.7min | BestVAcc:90.00%
E 82/500 | Loss:0.0373 | TrA:97.78% TrF1:97.78% | VAcc:85.00% VF1:85.00% | ETA:186.9min | BestVAcc:90.00%
E 83/500 | Loss:0.1087 | TrA:94.62% TrF1:94.62% | VAcc:82.50% VF1:82.50% | ETA:187.0min | BestVAcc:90.00%
E 84/500 | Loss:0.0524 | TrA:96.84% TrF1:96.84% | VAcc:90.00% VF1:90.00% | ETA:187.5min | BestVAcc:90.00%
E 85/500 | Loss:0.0136 | TrA:98.73% TrF1:98.73% | VAcc:83.75% VF1:83.75% | ETA:187.7min | BestVAcc:90.00%
E 86/500 | Loss:0.0102 | TrA:99.37% TrF1:99.37% | VAcc:88.75% VF1:88.75% | ETA:188.0min | BestVAcc:90.00%
E 87/500 | Loss:0.0077 | TrA:99.05% TrF1:99.05% | VAcc:90.00% VF1:90.00% | ETA:188.5min | BestVAcc:90.00%
E 88/500 | Loss:0.0096 | TrA:99.05% TrF1:99.05% | VAcc:86.25% VF1:86.25% | ETA:189.1min | BestVAcc:90.00%
E 89/500 | Loss:0.0622 | TrA:95.25% TrF1:95.25% | VAcc:76.25% VF1:76.25% | ETA:189.1min | BestVAcc:90.00%
E 90/500 | Loss:0.0473 | TrA:95.57% TrF1:95.57% | VAcc:87.50% VF1:87.50% | ETA:188.9min | BestVAcc:90.00%
E 91/500 | Loss:0.0259 | TrA:98.10% TrF1:98.10% | VAcc:88.75% VF1:88.75% | ETA:189.1min | BestVAcc:90.00%
E 92/500 | Loss:0.0032 | TrA:99.68% TrF1:99.68% | VAcc:87.50% VF1:87.50% | ETA:188.7min | BestVAcc:90.00%
E 93/500 | Loss:0.0027 | TrA:99.68% TrF1:99.68% | VAcc:88.75% VF1:88.75% | ETA:188.6min | BestVAcc:90.00%
E 94/500 | Loss:0.0004 | TrA:100.00% TrF1:100.00% | VAcc:88.75% VF1:88.75% | ETA:187.5min | BestVAcc:90.00%
E 95/500 | Loss:0.0010 | TrA:100.00% TrF1:100.00% | VAcc:87.50% VF1:87.50% | ETA:186.6min | BestVAcc:90.00%
E 96/500 | Loss:0.0006 | TrA:100.00% TrF1:100.00% | VAcc:88.75% VF1:88.75% | ETA:185.6min | BestVAcc:90.00%
E 97/500 | Loss:0.0011 | TrA:99.68% TrF1:99.68% | VAcc:87.50% VF1:87.50% | ETA:184.7min | BestVAcc:90.00%
E 98/500 | Loss:0.0008 | TrA:100.00% TrF1:100.00% | VAcc:88.75% VF1:88.75% | ETA:183.3min | BestVAcc:90.00%
E 99/500 | Loss:0.0003 | TrA:100.00% TrF1:100.00% | VAcc:87.50% VF1:87.50% | ETA:182.7min | BestVAcc:90.00%
E100/500 | Loss:0.0012 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:182.0min | BestVAcc:90.00%
E101/500 | Loss:0.0001 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:180.9min | BestVAcc:90.00%
E102/500 | Loss:0.0002 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:181.6min | BestVAcc:90.00%
E103/500 | Loss:0.0001 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:181.0min | BestVAcc:90.00%
E104/500 | Loss:0.0001 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:180.6min | BestVAcc:90.00%
E105/500 | Loss:0.0002 | TrA:100.00% TrF1:100.00% | VAcc:87.50% VF1:87.50% | ETA:179.8min | BestVAcc:90.00%
E106/500 | Loss:0.0001 | TrA:100.00% TrF1:100.00% | VAcc:88.75% VF1:88.75% | ETA:179.2min | BestVAcc:90.00%
E107/500 | Loss:0.0001 | TrA:100.00% TrF1:100.00% | VAcc:88.75% VF1:88.75% | ETA:178.3min | BestVAcc:90.00%
E108/500 | Loss:0.0003 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:177.8min | BestVAcc:90.00%
E109/500 | Loss:0.0001 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:177.2min | BestVAcc:90.00%
E110/500 | Loss:0.0001 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:176.7min | BestVAcc:90.00%
E111/500 | Loss:0.0001 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:176.2min | BestVAcc:90.00%
E112/500 | Loss:0.0000 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:174.1min | BestVAcc:90.00%
E113/500 | Loss:0.0000 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:172.9min | BestVAcc:90.00%
E114/500 | Loss:0.0001 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:173.2min | BestVAcc:90.00%
E115/500 | Loss:0.0000 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:172.2min | BestVAcc:90.00%
E116/500 | Loss:0.0000 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:171.7min | BestVAcc:90.00%
E117/500 | Loss:0.0000 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:171.9min | BestVAcc:90.00%
E118/500 | Loss:0.0000 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:172.4min | BestVAcc:90.00%
E119/500 | Loss:0.0000 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:172.7min | BestVAcc:90.00%
E120/500 | Loss:0.0000 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:172.6min | BestVAcc:90.00%
E121/500 | Loss:0.0000 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:171.5min | BestVAcc:90.00%
E122/500 | Loss:0.0001 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:170.9min | BestVAcc:90.00%
E123/500 | Loss:0.0000 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:170.3min | BestVAcc:90.00%
E124/500 | Loss:0.0000 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:168.2min | BestVAcc:90.00%
E125/500 | Loss:0.0000 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:167.5min | BestVAcc:90.00%
E126/500 | Loss:0.0221 | TrA:99.37% TrF1:99.37% | VAcc:90.00% VF1:90.00% | ETA:166.4min | BestVAcc:90.00%
E127/500 | Loss:0.3782 | TrA:81.01% TrF1:81.01% | VAcc:62.50% VF1:62.50% | ETA:164.7min | BestVAcc:90.00%
E128/500 | Loss:0.1952 | TrA:85.76% TrF1:85.76% | VAcc:73.75% VF1:73.75% | ETA:163.0min | BestVAcc:90.00%
E129/500 | Loss:0.1648 | TrA:84.49% TrF1:84.49% | VAcc:78.75% VF1:78.75% | ETA:161.2min | BestVAcc:90.00%
E130/500 | Loss:0.1063 | TrA:90.51% TrF1:90.51% | VAcc:80.00% VF1:80.00% | ETA:159.8min | BestVAcc:90.00%
E131/500 | Loss:0.0656 | TrA:95.57% TrF1:95.57% | VAcc:85.00% VF1:85.00% | ETA:159.3min | BestVAcc:90.00%
E132/500 | Loss:0.0255 | TrA:98.10% TrF1:98.10% | VAcc:88.75% VF1:88.75% | ETA:158.7min | BestVAcc:90.00%
E133/500 | Loss:0.0060 | TrA:99.37% TrF1:99.37% | VAcc:88.75% VF1:88.75% | ETA:158.6min | BestVAcc:90.00%
E134/500 | Loss:0.0072 | TrA:99.05% TrF1:99.05% | VAcc:90.00% VF1:90.00% | ETA:158.5min | BestVAcc:90.00%
E135/500 | Loss:0.0019 | TrA:99.68% TrF1:99.68% | VAcc:88.75% VF1:88.75% | ETA:158.9min | BestVAcc:90.00%
E136/500 | Loss:0.0068 | TrA:99.68% TrF1:99.68% | VAcc:88.75% VF1:88.75% | ETA:158.9min | BestVAcc:90.00%
E137/500 | Loss:0.0309 | TrA:97.15% TrF1:97.15% | VAcc:87.50% VF1:87.50% | ETA:158.6min | BestVAcc:90.00%
E138/500 | Loss:0.0164 | TrA:98.73% TrF1:98.73% | VAcc:90.00% VF1:90.00% | ETA:158.3min | BestVAcc:90.00%
